ORIGIN,STATE,CITY,LOCAL,IATA,IDENT,NAME
TTN,NJ,Trenton,TTN,TTN,KTTN,Trenton Mercer Airport
RST,MN,Rochester,RST,RST,KRST,Rochester International Airport
JAC,WY,Jackson,JAC,JAC,KJAC,Jackson Hole Airport
CHS,SC,Charleston,CHS,CHS,KCHS,Charleston International Airport
HGR,MD,Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Richard A Henson Field
HRL,TX,Harlingen,HRL,HRL,KHRL,Valley International Airport
TUL,OK,Tulsa,TUL,TUL,KTUL,Tulsa International Airport
RSW,FL,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport
IPL,CA,Imperial,IPL,IPL,KIPL,Imperial County Airport
ISP,NY,Islip,ISP,ISP,KISP,Long Island Mac Arthur Airport
AMA,TX,Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport
BOS,MA,Boston,BOS,BOS,KBOS,Logan International Airport
MAF,TX,Midland,MAF,MAF,KMAF,Midland International Airport
MLB,FL,Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport
TUP,MS,Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport
EWR,NJ,Newark,EWR,EWR,KEWR,Newark Liberty International Airport
LAS,NV,Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport
BIS,ND,Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport
OGD,UT,Ogden,OGD,OGD,KOGD,Ogden Hinckley Airport
JAN,MS,Jackson,JAN,JAN,KJAN,Jackson-Medgar Wiley Evers International Airport
ITO,HI,Hilo,ITO,ITO,PHTO,Hilo International Airport
FAI,AK,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport
IMT,MI,Iron Mountain / Kingsford,IMT,IMT,KIMT,Ford Airport
UIN,IL,Quincy,UIN,UIN,KUIN,Quincy Regional Baldwin Field
XNA,AR,Fayetteville/Springdale/Rogers,XNA,XNA,KXNA,Northwest Arkansas Regional Airport
HHH,SC,Hilton Head Island,HXD,HHH,KHXD,Hilton Head Airport
DLH,MN,Duluth,DLH,DLH,KDLH,Duluth International Airport
HYA,MA,Hyannis,HYA,HYA,KHYA,Barnstable Municipal Boardman Polando Field
DEN,CO,Denver,DEN,DEN,KDEN,Denver International Airport
EWN,NC,New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport
RHI,WI,Rhinelander,RHI,RHI,KRHI,Rhinelander Oneida County Airport
SGU,UT,St George,SGU,SGU,KSGU,St George Regional Airport
ALB,NY,Albany,ALB,ALB,KALB,Albany International Airport
CPR,WY,Casper,CPR,CPR,KCPR,Casper-Natrona County International Airport
LNK,NE,Lincoln,LNK,LNK,KLNK,Lincoln Airport
GRI,NE,Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport
OME,AK,Nome,OME,OME,PAOM,Nome Airport
PSP,CA,Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport
IAD,VA,"Washington, DC",IAD,IAD,KIAD,Washington Dulles International Airport
BOI,ID,Boise,BOI,BOI,KBOI,Boise Air Terminal/Gowen Field
SBA,CA,Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport
IYK,CA,Inyokern,IYK,IYK,KIYK,Inyokern Airport
HOB,NM,Hobbs,HOB,HOB,KHOB,Lea County Regional Airport
LAR,WY,Laramie,LAR,LAR,KLAR,Laramie Regional Airport
MEI,MS,Meridian,MEI,MEI,KMEI,Key Field / Meridian Regional Airport
BRO,TX,Brownsville,BRO,BRO,KBRO,Brownsville South Padre Island International Airport
DRO,CO,Durango,DRO,DRO,KDRO,Durango La Plata County Airport
BRD,MN,Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport
BMI,IL,Bloomington/Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal
RKS,WY,Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport
SEA,WA,Seattle,SEA,SEA,KSEA,Seattle–Tacoma International Airport
LAN,MI,Lansing,LAN,LAN,KLAN,Capital City Airport
CMI,IL,Savoy,CMI,CMI,KCMI,University of Illinois Willard Airport
VEL,UT,Vernal,VEL,VEL,KVEL,Vernal Regional Airport
LRD,TX,Laredo,LRD,LRD,KLRD,Laredo International Airport
PBG,NY,Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport
VLD,GA,Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport
HYS,KS,Hays,HYS,HYS,KHYS,Hays Regional Airport
PSM,NH,Portsmouth,PSM,PSM,KPSM,Portsmouth International at Pease Airport
MCI,MO,Kansas City,MCI,MCI,KMCI,Kansas City International Airport
PIR,SD,Pierre,PIR,PIR,KPIR,Pierre Regional Airport
FLG,AZ,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam International Airport
GRK,TX,Killeen,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field
BNA,TN,Nashville,BNA,BNA,KBNA,Nashville International Airport
CLT,NC,Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport
CLL,TX,College Station,CLL,CLL,KCLL,Easterwood Field
TVC,MI,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport
UST,FL,St Augustine,SGJ,UST,KSGJ,Northeast Florida Regional Airport
CGI,MO,Cape Girardeau,CGI,CGI,KCGI,Cape Girardeau Regional Airport
PSC,WA,Pasco,PSC,PSC,KPSC,Tri Cities Airport
BLI,WA,Bellingham,BLI,BLI,KBLI,Bellingham International Airport
CIC,CA,Chico,CIC,CIC,KCIC,Chico Municipal Airport
ORH,MA,Worcester,ORH,ORH,KORH,Worcester Regional Airport
ABQ,NM,Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport
PBI,FL,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport
PIE,FL,St Petersburg-Clearwater,PIE,PIE,KPIE,St Petersburg Clearwater International Airport
SDF,KY,Louisville,SDF,SDF,KSDF,Louisville Muhammad Ali International Airport
ART,NY,Watertown,ART,ART,KART,Watertown International Airport
LAW,OK,Lawton,LAW,LAW,KLAW,Lawton Fort Sill Regional Airport
ACV,CA,Arcata/Eureka,ACV,ACV,KACV,California Redwood Coast-Humboldt County Airport
SCK,CA,Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport
DAL,TX,Dallas,DAL,DAL,KDAL,Dallas Love Field
BDL,CT,Hartford,BDL,BDL,KBDL,Bradley International Airport
MRY,CA,Monterey,MRY,MRY,KMRY,Monterey Peninsula Airport
ITH,NY,Ithaca,ITH,ITH,KITH,Ithaca Tompkins Regional Airport
DBQ,IA,Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport
