ABE,Lehigh Valley International Airport
ORD,Chicago O'Hare International Airport
ORF,Norfolk International Airport
ORH,Worcester Regional Airport
OTH,Southwest Oregon Regional Airport
OTZ,Ralph Wien Memorial Airport
OWB,Owensboro Daviess County Airport
OXR,Oxnard Airport
PAH,Barkley Regional Airport
PBG,Plattsburgh International Airport
PBI,Palm Beach International Airport
PDX,Portland International Airport
PGD,Charlotte County Airport
PGV,Pitt Greenville Airport
PHF,Newport News Williamsburg International Airport
PHL,Philadelphia International Airport
PHX,Phoenix Sky Harbor International Airport
PIA,General Wayne A. Downing Peoria International Airport
PIB,Hattiesburg Laurel Regional Airport
PIE,St Petersburg Clearwater International Airport
PIH,Pocatello Regional Airport
PIR,Pierre Regional Airport
PIT,Pittsburgh International Airport
PLN,Pellston Regional Airport of Emmet County Airport
PNS,Pensacola International Airport
PRC,Prescott Regional Airport - Ernest A. Love Field
PSC,Tri Cities Airport
PSG,Petersburg James A Johnson Airport
PSM,Portsmouth International at Pease Airport
PSP,Palm Springs International Airport
PUB,Pueblo Memorial Airport
PVD,Theodore Francis Green State Airport
PVU,Provo Municipal Airport
PWM,Portland International Jetport
RAP,Rapid City Regional Airport
RDD,Redding Municipal Airport
RDM,Roberts Field
RDU,Raleigh Durham International Airport
RFD,Chicago Rockford International Airport
RHI,Rhinelander Oneida County Airport
RIC,Richmond International Airport
RKS,Southwest Wyoming Regional Airport
RNO,Reno Tahoe International Airport
ROA,RoanokeâBlacksburg Regional Airport
ROC,Greater Rochester International Airport
ROW,Roswell Air Center Airport
RST,Rochester International Airport
RSW,Southwest Florida International Airport
SAF,Santa Fe Municipal Airport
SAN,San Diego International Airport
SAT,San Antonio International Airport
SAV,Savannah Hilton Head International Airport
SBA,Santa Barbara Municipal Airport
SBN,South Bend Regional Airport
SBP,San Luis County Regional Airport
SCC,Deadhorse Airport
SCE,University Park Airport
SCK,Stockton Metropolitan Airport
SDF,Louisville Muhammad Ali International Airport
SEA,Seattle Tacoma International Airport
SFB,Orlando Sanford International Airport
SFO,San Francisco International Airport
SGF,Springfield Branson National Airport
SGU,St George Municipal Airport
SHD,Shenandoah Valley Regional Airport
SHV,Shreveport Regional Airport
SIT,Sitka Rocky Gutierrez Airport
SJC,Norman Y. Mineta San Jose International Airport
SJT,San Angelo Regional Mathis Field
SLC,Salt Lake City International Airport
SLN,Salina Municipal Airport
SMF,Sacramento International Airport
SMX,Santa Maria Pub/Capt G Allan Hancock Field
SNA,John Wayne Airport-Orange County Airport
SPI,Abraham Lincoln Capital Airport
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport
SRQ,Sarasota Bradenton International Airport
STC,St Cloud Regional Airport
STL,St Louis Lambert International Airport
STS,Charles M. Schulz Sonoma County Airport
SUN,Friedman Memorial Airport
SUX,Sioux Gateway Airport/Brigadier General Bud Day Field
SWF,New York Stewart International Airport
SWO,Stillwater Regional Airport
SYR,Syracuse Hancock International Airport
TEX,Telluride Regional Airport
TKI,Collin County Regional At Mc Kinney Airport
TKI,Tokeen Seaplane Base
TLH,Tallahassee Regional Airport
TOL,Toledo Express Airport
TPA,Tampa International Airport
TRI,Tri-Cities Regional TN/VA Airport
TTN,Trenton Mercer Airport
TUL,Tulsa International Airport
TUP,Tupelo Regional Airport
TUS,Tucson International Airport / Morris Air National Guard Base
TVC,Cherry Capital Airport
TWF,Joslin Field Magic Valley Regional Airport
TXK,Texarkana Regional Webb Field
TYR,Tyler Pounds Regional Airport
